data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,Tylenol Sinus Paracetamol 500mg + Cloridrato de Pseudoefedrina 30mg 24 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-24-comprimidos.html?origin=search,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,Cimegripe Cloridrato Fenillefrina 4mg + Paracetamol 400mg + Maleato de Clorfeniramina 4mg 10 cápsulas,Preço não encontrado,,indefinido,https://www.drogasil.com.br/cimegripe-10-capsulas-1022093.html?origin=search,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,Tylenol Paracetamol Bebê 100mg/ml Suspensão Oral Sabor Frutas 15ml,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-bebe-gotas-15-ml.html?origin=search,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,Tylenol Sinus Paracetamol 500mg + Cloridrato de Pseudoefedrina 30mg 36 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-36-comprimidos.html?origin=search,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,Tylenol Sinus Paracetamol 500mg + Cloridrato de Pseudoefedrina 30mg 24 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-24-comprimidos.html?origin=search,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,Neolefrin Paracetamol 800mg + Cloridrato Fenillefrina 20mg + Maleato de Carbinoxamina 4mg 20 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/neolefrin-2-blisters-com-10-comprimidos-cada.html?origin=search,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,Neolefrin Dia Paracetamol 800mg + Cloridrato Fenillefrina 20mg 20 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/neolefrin-dia-com-20-comprimidos.html?origin=search,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,Tylenol Paracetamol Bebê 100mg/ml Suspensão Oral Sabor Frutas 15ml,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-bebe-gotas-15-ml.html?origin=search,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,Loratadina 10mg 12 comprimidos Cimed Genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,Loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,
